中文正名,英文名,入藥部位
薔薇根,Cathaya Japanese Rose Root,根
金櫻根,Cherokee Rose Root,根
救軍糧,Entire Firethorn Root and Leaf,根、葉
紅地榆,Griffith Cinquefoil Root,根
柘根,Tricuspid Curania Root,根
穿破石,Cochinchina Cudrania Root,根
酸藤根,Joyful Embelia Root,根
走馬胎,Giganticleaf Ardisia Root,根
散血丹,Punctate Ardisia Root,根
百兩金,Crisped Ardisia Root,根
朱砂根,Coral Ardisia Root,根
矮地茶,Japanese Ardisia Root,根
二色補血草,Twocolor Sealavander Root or Herb,根或全草
補血草,Chinese Sealavender Root or Herb,根或全草
鑽石風,Szechwan Sabia Root,根
三葉青,Hemsley Rockvine Root Tuber,塊根
山葡萄,Amur Grape Root or Stem,根或藤
白蘞,Japanese Ampelopsis Root Tuber,塊根
蛇葡萄根,Chinese Ampelopsis Root,根或根皮
冷飯藤根,Oblongleaf Kadsura Root,根
黑老虎根,Scarlet Kadsura Root,根
紅木香,Longpeduncle Kadsura Root,根
地筍,Shiny Bugleweed Rhizome,根莖
蘇頭,Cutivated Purple Perilla Root,根頭
地蠶,Earthsilkwom Betony Tuber,塊莖
獨一味,Common Lamiophlomis Root and Rhizome,根及根莖
排草香,Common Anisochilus Root,根、莖
丹參,Dan-shen Root,根
黃芩,Baikal Skullcap Root,根
虎刺,Indian Damnacanthus Root,根
巴蕺天,Medicinal Morinda Root,根
茜草,Indian Madder Root,根
紅大蕺,Knoxia Root,根
水楊梅根,Thinleaf Adina Root,根
香樟根,Camphortree Root,根
山胡椒根,Greyblue Spicebush Root,根
豆豉薑,Mountain Spicy Tree Root,根
南木香,Yunnan Dutchmanspipe Root,根
青木香,Slender Dutchmanspipe Root,根
木防己,Orbicular Snailseed Root Japanese Snailseed Root,根
防己,Fourstamen Stephania Root,根
一文錢根,Delavay Stephanai Root,根
地不容,Epigeal Stephania Root Tuber,塊根
秤鉤風,Similar Diploclisia Root,根及根莖
金果欖,Arrow-shaped Tinospora Root Tuber,塊根
三椏苦根,Thin Evodia Root,根
兩面針根,Shinyleaf Pricklyash Root,根
苧麻根,Ramie Root,根
商陸,Indian Pokwees Root Indian Pokeberry Root,根
南板藍根,Common Baphicacanthus Rhizome and Root,根莖及根
板藍根,Indigowoad Root,根
四葉細辛,Manyspike Chloranthus Root or Herb,根或全草
藕節,Lotus Rhizome Node,根莖節部
藕,Lotus Rhizome,根莖
蘿芙木,Common Devilpepper Root,根
大白藥,Griffith Condorvine Root,根
百靈草,Longstalk Condorvine Root or Herb,根或全株
通關藤,Tenacious Condorvine Root or Herb,根、全株
古鉤藤,Buchanan Cryptolepis Root,根
蘿摩,Japanese Metaplexis Root or Herb,根或全草
烏骨藤,Forrest Silkvine Root or Herb Prettyleaf SilkvineRootor Herb,根或全株
娃兒藤,Ovate Tylophora Root and Rhizome,根及根莖
徐長卿,Paniculate Swallowwort Root or Herb,根及根莖或全草
白薇,Blackend Swallowwort Root and Rhizome,根及根莖
白前,Willowleaf Swallowwort Rhizome and Root,根莖及根
了哥王,Indian Stringbush Root,根或根皮
芫花根,Lilac Daphne Root,根
川續斷,RadixAsper-like Teasel Root,根
甘松,Chinese Nardostachys Root and Rhizome,根及根莖
墓頭回,Scabrous Patrinia Root,根
豆豉草,Hardwock Valeriana Root or Herb,根或全草
蜘蛛香,Jatamana Valeriana Rhizome,根莖及根
纈草,Chinese Common Valeriana Rhi-zome,根莖及根
南瓜根,Cushaw Root,根
黃瓜根,Cucumber Root,根
天花粉,Snakegourd Root,根
土貝母,Paniculate Bolbostemma Bulb,鱗莖
羅鍋底,Large-seed Hemsleya Tuber,塊莖
白茄根,Garden Eggplant Root White Eggplant Root,根
華山參,Funneled Physochlaina Root,根
三分三,Acutangular Anisodus Root,根
山莨菪,Tangut Anisodus Root,根
金鐵鎖,Tuniclike Psammosilene Root,根
顛茄根,Common Atropa Root,根
銀柴胡,Lanceolate Dichotomous Starwort Root,根
太子參,Different Leaves Pseudostellaria Root Tuber,塊根
鑽地風,Chinese Hydrangeavine Root,根
落新婦,Chinese Astilbe Rhizome or Herb,根莖或全草
岩白菜,Purple Bergenia Rhizome,根莖或全草
土常山,Chinese Hydrangea Root,根
常山,Antifebfrile Dichroa Root,根
血光藤,Lanceolateleaf Gardneria Root and Stem,根及莖
破骨風,Lanceolate Jasmine Root,根
菊芋,Jerusalem Artichoke Root Tuber,塊根
狗頭七,Tuberous Velvetplant Root Tuber,塊根
黃花漏蘆,Ruthenia Centaurea Root,根
山萵苣,Indian Pterocypsela Root or Herb,根或全草
八角香,Ainsliaefolius Parasenecio Tuber,塊莖
野苦麻,Ussuri Saussurea Root,根
兔兒傘,Aconiteleaf syneilesis Root or Herb,根或全草
雅蔥,Chinese Serpentroot,根
紫菀,Tatarian Aster Root and Rhizome,根及根莖
還陽參,Rigescent Hawksbeard Root,根
漏蘆,Common Swisscentaury Root,根
大麗菊,Common Dahlia Root Tuber Garden Dahlia Root Tuber,塊根
木香,Costusroot Common Aucklandia Root,根
鐵包金,Lineate Supplejack Root,根
紫金龍,Climbing Dactylicapnos Root,根
夏天無,Decumbent CorydalisTuber,塊莖
川牛膝,Medicinal Cyathula officinalis Root,根
土牛膝,Wild Achyranthes Root,根
牛膝,Common Achyranthes,根
胡黃連,Figwortflower Picrorhiza Rhizome,根莖
馬先蒿,Resupinate Woodbetony Root or Herb,根或全草
地黃,Adhesive Rehmannia Root Tuber,塊根
玄參,Figwort Root Ningpo Figwort Root,根
赤芍,Red Peony Root,根
白芍,White Peony Root,根
貓爪草,Catclaw Buttercup Root Tuber,塊根
升麻,Skunk Bugbane Rhizome,根莖
天葵子,Muskroot – like Semiaquilegia Root,塊根
野棉花根,Grapeleaf Anemone Root,根
兩頭尖,Radde Anemone Rhizome,根莖
白頭翁,Chinese Pulsatilla Root,根
鐵棒錘,Pendulous Monkshood Root,塊根
關白附,Korean Monkshood Root,塊根
天雄,Singular Common Monkshood Root,塊根
附子,Prepared Common Monkshood Daughter Root,子根加工品
草烏,Kusnezoff Monkshood Mother-root,塊根
川烏,Common Monkshood Mother-root,母根
雪裏開,Henry Clematis Root Tuber,塊根
鐵線蓮,Cream Clematis Root or Herb,根或全草
威靈仙,Chinese Clematis Root and Rhi-zome,根及根莖
黃連,Chinese Goldthread Rhizome,根莖
白藥子,Oriental Stephania Root,塊根
紅藥子,Hairynerve Polygonum Root Tu-ber,塊根
薯莨,Shouliahg Yam Radix Root,塊莖
黃藥子,Airpotato Yam Rhizome,塊莖
衛矛根,Winged Euonymus Root,根
落霜紅,Aculeate Bittersweet Root,根
南蛇藤,Oriental Bittersweet Root or Stem,根，藤
雷公藤,Common Threewingnut Root,根
地榆,Longleaf Garden Burnet Root,根
崗梅根,Roughhaired Holly Root,根
毛冬青,Pubescent Holly Root,根
三白草根,Chinese Lizardtail Rhizome,根莖
喜樹根,Common Camptotheca,根
山礬,Sumuntia Sweetleaf Root,根
地桃花根,Rose Mallow RootCadillo Root,根
棉花根,Upland Cotton Root,根
扶桑根,Chinese Hibiscus Root,根
黃蜀葵根,Sunset Abelmoschus Root,根
山芝麻,Narrowleaf Screwtree Root,根
八角楓根,Chinese Alangium Root,根
紅景天,Kirilow Rhodiola Root and Rhi-zome,根及根莖
黃花倒水蓮,False – yellowflower Milkwort Root,根或全草
遠志,Thinleaf Milkwort Root,根
十大功勞根,Leatherleaf Mahonia Root,根
三棵針,Poiret Barberry Root,根
窩兒七,Chinese Umbrellaleaf Rhizome,根莖
六角蓮,Sixangular Dysosma Rhizome,根莖及根
八角蓮,Common Dysosma Rhizome,根及根莖
沙參,Upright Ladybell Root,根
桔梗,Balloonflower Root,根
羊乳參,Lance Asiabell Root,根
黨參,Pilose Asiabell Root,根
秦艽,Largeleaf Gentian Root,根
龍膽,Chinese Gentian Root Rough Gentian Root,根及根莖
算盤子根,Puberulous Glochidion Root,根
狼毒,Fischer Euphorbia Root,根
毛桐根,Barbate Mallotus Root,根
白背葉根,Whitebackleaf Mallotus Root,根
雞骨香,Thickleaf Croton Root,根
甘遂,Gansui RootKansui Root,根
京大蕺,Peking Euphorbia Root,根
土欒兒,Fortune Apios Root Tuber,塊根
大發汗,Whiteflowered Wisteria Root,根
