#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-03-09-10-21-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357443847.921897	CUFYqU2maa6FSOcrF	172.16.253.130	1128	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443849.124667	CKTRO02d9nId4nMK4e	172.16.253.130	1129	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443860.122613	Ccum9H3y47HPVyfMpe	172.16.253.130	1130	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443861.326699	C8q1GL3xxzJMxFkpk	172.16.253.130	1131	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443862.530589	CSL9iW12uHzsJNQcCe	172.16.253.130	1132	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443863.749095	C1pU6w3dbSvq6HbBc1	172.16.253.130	1133	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443864.954640	CRpsHP1Sqd3ulzLRR	172.16.253.130	1134	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443866.171722	CtlKfL1tT3LHNSFWWe	172.16.253.130	1135	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443867.374887	ClFFyA3vBBaBaPJPZ7	172.16.253.130	1136	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443868.577050	CtGbs01Oz0N6vaYYnl	172.16.253.130	1137	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
