DATE,CORESTICKM158SFRBATL
1991-05-01,3.915394992
1991-06-01,3.885194114
1991-07-01,4.639382456
1991-08-01,4.397083466
1991-09-01,5.117990299
1991-10-01,2.834695865
1991-11-01,4.109842467
1991-12-01,4.453020172
1992-01-01,4.000323693
1992-02-01,2.958494213
1992-03-01,4.559225605
1992-04-01,4.082701833
1992-05-01,2.254118177
1992-06-01,3.143768909
1992-07-01,3.550665332
1992-08-01,2.707836579
1992-09-01,1.751139482
1992-10-01,6.367866155
1992-11-01,4.042998558
1992-12-01,2.631126269
1993-01-01,4.602735910
1993-02-01,3.356680748
1993-03-01,1.836397682
1993-04-01,4.919810930
1993-05-01,3.798240667
1993-06-01,3.526879032
1993-07-01,1.808214983
1993-08-01,3.733565771
1993-09-01,3.334542904
1993-10-01,3.657517657
1993-11-01,4.185571727
1993-12-01,3.980920024
1994-01-01,2.519596743
1994-02-01,3.840963735
1994-03-01,3.673144906
1994-04-01,2.338782048
1994-05-01,2.290499843
1994-06-01,3.159695559
1994-07-01,2.260609659
1994-08-01,4.619369232
1994-09-01,2.716322196
1994-10-01,2.596844903
1994-11-01,3.742377258
1994-12-01,1.274464465
1995-01-01,5.474922853
1995-02-01,3.599864353
1995-03-01,4.214606354
1995-04-01,3.998582202
1995-05-01,2.821154085
1995-06-01,2.915611271
1995-07-01,2.915857678
1995-08-01,2.854026510
1995-09-01,4.069133949
1995-10-01,3.927701361
1995-11-01,2.731450323
1995-12-01,1.308219145
1996-01-01,4.215478753
1996-02-01,3.404434134
1996-03-01,2.689391804
1996-04-01,2.438844124
1996-05-01,3.344436375
1996-06-01,2.933600396
1996-07-01,3.355567568
1996-08-01,2.771555892
1996-09-01,3.832765618
1996-10-01,2.492468157
1996-11-01,3.165251898
1996-12-01,2.176494641
1997-01-01,2.506584020
1997-02-01,2.093666054
1997-03-01,3.325886829
1997-04-01,3.115254726
1997-05-01,2.843806709
1997-06-01,2.433691681
1997-07-01,2.428416808
1997-08-01,1.629525147
1997-09-01,2.508425351
1997-10-01,3.395401503
1997-11-01,2.336085537
1997-12-01,3.036908810
1998-01-01,3.104147260
1998-02-01,2.285231729
1998-03-01,3.089955983
1998-04-01,2.727391357
1998-05-01,2.491486250
1998-06-01,2.307898637
1998-07-01,2.460806006
1998-08-01,1.989880860
1998-09-01,2.027276385
1998-10-01,2.683244220
1998-11-01,2.181635223
1998-12-01,2.013465463
1999-01-01,2.439089484
1999-02-01,1.491013283
1999-03-01,2.147736234
1999-04-01,2.592913661
1999-05-01,1.631717411
1999-06-01,1.324614527
1999-07-01,2.986968658
1999-08-01,1.779063786
1999-09-01,1.745409162
1999-10-01,2.452462436
1999-11-01,3.363236362
1999-12-01,2.252403509
2000-01-01,4.471505299
2000-02-01,2.033510195
2000-03-01,3.399855861
2000-04-01,1.715786904
2000-05-01,3.405176574
2000-06-01,3.024452522
2000-07-01,3.094645076
2000-08-01,3.706266929
2000-09-01,2.031309987
2000-10-01,2.704393324
2000-11-01,2.780907719
2000-12-01,3.461244925
2001-01-01,3.346167822
2001-02-01,3.213912445
2001-03-01,3.186244986
2001-04-01,3.261852530
2001-05-01,3.202548202
2001-06-01,4.561475731
2001-07-01,3.186244986
2001-08-01,4.251626910
2001-09-01,3.635692733
2001-10-01,3.842330145
2001-11-01,4.200275031
2001-12-01,3.038388857
2002-01-01,3.247888492
2002-02-01,2.872621546
2002-03-01,2.483876764
2002-04-01,3.225648466
2002-05-01,3.038512195
2002-06-01,2.020798483
2002-07-01,3.458273717
2002-08-01,2.836665715
2002-09-01,2.209790234
2002-10-01,2.760359335
2002-11-01,2.826447495
2002-12-01,2.652142619
2003-01-01,3.078604250
2003-02-01,1.876426960
2003-03-01,1.561464728
2003-04-01,1.221060861
2003-05-01,1.700674067
2003-06-01,1.109603407
2003-07-01,3.043692517
2003-08-01,1.970332647
2003-09-01,2.435163784
