"Date","3008.TW.Open","3008.TW.High","3008.TW.Low","3008.TW.Close","3008.TW.Volume","3008.TW.Adjusted"
2017-04-21,4795,4885,4780,4875,653000,4875
2017-04-24,4905,4980,4845,4895,481000,4895
2017-04-25,4905,4970,4855,4970,442000,4970
2017-04-26,4970,5010,4955,5000,505000,5000
2017-04-27,4975,5015,4965,5010,176000,5010
2017-04-28,4985,5015,4985,5015,227000,5015
2017-05-02,5015,5070,5000,5000,305000,5000
2017-05-03,4975,5040,4970,5020,171000,5020
2017-05-04,5000,5030,4970,4970,246000,4970
2017-05-05,4970,5010,4935,4935,223000,4935
2017-05-08,4960,4965,4870,4935,358000,4935
2017-05-09,4950,5030,4905,4995,326000,4995
2017-05-10,4975,4990,4945,4945,165000,4945
2017-05-11,4975,5015,4940,4960,276000,4960
2017-05-12,4945,4970,4875,4885,314000,4885
2017-05-15,4900,4915,4855,4900,225000,4900
2017-05-16,4920,4925,4870,4870,254000,4870
2017-05-17,4865,4880,4795,4820,388000,4820
2017-05-18,4755,4920,4755,4855,476000,4855
2017-05-19,4855,4865,4810,4810,3e+05,4810
2017-05-22,4880,4900,4840,4900,174000,4900
2017-05-23,4890,4895,4855,4875,211000,4875
2017-05-24,4885,4895,4855,4860,228000,4860
2017-05-25,4860,4880,4800,4805,309000,4805
2017-05-26,4815,4860,4805,4835,298000,4835
2017-05-31,4835,4835,4750,4750,382000,4750
2017-06-01,4750,4800,4705,4715,375000,4715
2017-06-02,4765,4845,4760,4845,361000,4845
2017-06-03,NA,NA,NA,NA,NA,NA
2017-06-05,4850,4865,4800,4850,234000,4850
2017-06-06,4850,4850,4790,4790,222000,4790
2017-06-07,4790,4870,4765,4765,343000,4765
2017-06-08,4790,4830,4775,4775,250000,4775
2017-06-09,4800,4870,4800,4840,324000,4840
2017-06-12,4780,4820,4780,4805,144000,4805
2017-06-13,4815,4855,4790,4810,283000,4810
2017-06-14,4830,4845,4680,4695,416000,4695
2017-06-15,4720,4750,4670,4695,387000,4695
2017-06-16,4680,4750,4635,4730,376000,4730
2017-06-19,4730,4845,4730,4835,329000,4835
2017-06-20,4810,4890,4810,4845,245000,4845
2017-06-21,4850,4890,4825,4835,363000,4835
2017-06-22,4850,4890,4840,4890,217000,4890
2017-06-23,4915,4985,4915,4965,484000,4965
2017-06-26,4945,5010,4920,5000,265000,5000
2017-06-27,5020,5040,4970,4970,285000,4970
2017-06-28,4970,4980,4860,4860,434000,4860
2017-06-29,4930,4960,4885,4895,268000,4895
2017-06-30,4885,4890,4810,4850,360000,4850
2017-07-03,4840,4840,4760,4760,352000,4760
2017-07-04,4790,4815,4765,4770,255000,4770
2017-07-05,4800,4830,4770,4815,258000,4815
2017-07-06,4890,4970,4885,4970,557000,4970
2017-07-07,4915,4965,4915,4960,330000,4960
2017-07-10,4970,5095,4970,5090,627000,5090
2017-07-11,5190,5325,5160,5285,850000,5285
2017-07-12,5290,5430,5260,5430,650000,5430
2017-07-13,5435,5450,5305,5335,459000,5335
2017-07-14,5125,5195,5115,5170,1108000,5170
2017-07-17,5170,5270,5115,5210,692000,5210
2017-07-18,5295,5450,5260,5450,697000,5450
2017-07-19,5500,5610,5490,5580,746000,5580
2017-07-20,5595,5635,5510,5580,572000,5580
2017-07-21,5525,5530,5425,5425,453000,5425
2017-07-24,5380,5495,5380,5485,316000,5485
2017-07-25,5535,5600,5520,5600,318000,5600
2017-07-26,5600,5610,5495,5495,378000,5495
2017-07-27,5515,5600,5515,5520,342000,5520
2017-07-28,5520,5530,5420,5445,393000,5445
2017-07-31,5435,5510,5415,5510,301000,5510
2017-08-01,5545,5550,5500,5500,312000,5500
2017-08-02,5645,5810,5620,5765,690000,5765
2017-08-03,5750,5750,5655,5705,319000,5705
