#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-03-09-10-22-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1317692570.471258	CO5catbUNgzimWvPd	172.16.165.128	1155	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.1) Gecko/20061204 Firefox/2.0.0.1	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F9e2Yf3aCKj8fQR40a	text/html
1317692570.500570	CZYHcaV71f12dLp8f	172.16.165.128	1158	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.0.3) Gecko/20060426 Firefox/1.5.0.3	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FFLRLw10RkpllHnSx8	text/html
1317692570.530663	CQr8uC2vNE3QDTKrOf	172.16.165.128	1161	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (X11; U; Linux x86_64; ru; rv:1.9.0.2) Gecko/2008092702 Gentoo Firefox/3.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FPXrU4anNhVzVNzs2	text/html
1317692570.589147	CQGPOX2TPrXI97LKWc	172.16.165.128	1165	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Opera/9.00 (Wii; U; ; 1038-58; Wii Shop Channel/1.0; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FbYAmG4F4etoJymZU3	text/html
1317692570.640589	CJ6jul2zl8tkknL051	172.16.165.128	1171	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 9424) Opera 8.65 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FMvDHE1M8ddYVEsUJj	text/html
1317692570.656334	C3bdrkRBXOZqEiIEe	172.16.165.128	1172	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/4.0 (compatible; MSIE 5.0; SunOS 5.9 sun4u; X11)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FFSUN23ycgoIWWN4p	text/html
1317692570.686309	CausXS2zLO97VM4Qb3	172.16.165.128	1174	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.0.4) Gecko/20060516 SeaMonkey/1.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FzTB664WSmAjiqLrUj	text/html
1317692570.704504	Cax6P51DB4vMKf9BYd	172.16.165.128	1175	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/532.9 (KHTML, like Gecko) Chrome/5.0.307.9 Safari/532.9	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FfIyBB3P8ycN1l32f2	text/html
1317692570.725964	CX734uXiS72jSDcT3	172.16.165.128	1177	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.0.7) Gecko/20060909 Firefox/1.5.0.7	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FWmvSe3slkzgaCz2I7	text/html
1317692570.792597	Cpp7DXLsq1WbNXAj	172.16.165.128	1181	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/5.0 (Windows NT 5.1; U; en) Opera 8.50	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FpeY964MRkX0Dw14T8	text/html
1317692570.793765	CZrHf71r0jKK39o9mb	172.16.165.128	1184	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.8.0.1) Gecko/20060111 Firefox/1.5.0.1	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FM7KXC3NOj7FChDCii	text/html
1317692570.793347	CGSucK27ZEnyiwVh2c	172.16.165.128	1179	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en) Opera 8.50	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F4czRJ3zeTRqR8qtZ1	text/html
1317692570.832741	CRWt7h38jO0HJf4WS	172.16.165.128	1188	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	mozilla/4.0 (compatible; msie 8.0; windows nt 5.1; trident/4.0; ...)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F9WVYn2zqjFzNDyQEj	text/html
1317692570.831233	CQ3z8oCh2IdtfDXNe	172.16.165.128	1187	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6936) Opera 8.50 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fda3wu3dhjU1Uz4Sm6	text/html
1317692570.831971	CyPaGh3dk8WaRjKY01	172.16.165.128	1186	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/4.0 (compatible; MSIE 5.17; Mac_PowerPC)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FWb2SA2z7rskp8Aa66	text/html
1317692570.827526	Cb1nQP2ZnfLGvXdYVe	172.16.165.128	1185	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/1.22 (compatible; MSIE 1.5; Windows NT)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FCwxx94kNRKrq6ccMl	text/html
1317692570.853331	C0PgN712rlN8rAmhub	172.16.165.128	1190	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.2) Gecko/2008091620 Firefox/3.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhl4NqP7zcME2JiN7	text/html
1317692570.903781	CFAxTp36KaZv2xljac	172.16.165.128	1193	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; WOW64; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.21022; .NET CLR 3.5.30729; .NET CLR 3.0.30618)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FBqP9V1CGKXpwyjDCe	text/html
